"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Features\featuresData.tsx", "TypeScript JSX", 0, 47, 0, 3, 50
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Features\index.tsx", "TypeScript JSX", 0, 24, 0, 4, 28
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Footer\index.tsx", "TypeScript JSX", 0, 43, 0, 6, 49
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Header\ThemeToggler.tsx", "TypeScript JSX", 0, 41, 0, 3, 44
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Header\index.tsx", "TypeScript JSX", 0, 47, 3, 12, 62
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Hero\index.tsx", "TypeScript JSX", 0, 48, 1, 12, 61
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Pricing\OfferList.tsx", "TypeScript JSX", 0, 27, 0, 4, 31
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Pricing\PricingBox.tsx", "TypeScript JSX", 0, 78, 0, 3, 81
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\Pricing\index.tsx", "TypeScript JSX", 0, 155, 0, 7, 162
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\ScrollToTop\index.tsx", "TypeScript JSX", 0, 34, 3, 7, 44
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\sidebar\sidebar.tsx", "TypeScript JSX", 0, 127, 7, 17, 151
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\styles\index.css", "PostCSS", 107, 0, 8, 21, 136
"Total", "-", 107, 4023, 90, 379, 4599
